Release Date,Actual,Previous
"Jul 31, 2013",0.25%,0.25%
"Jun 19, 2013",0.25%,0.25%
"May 01, 2013",0.25%,0.25%
"Mar 20, 2013",0.25%,0.25%
"Jan 30, 2013",0.25%,0.25%
"Dec 12, 2012",0.25%,0.25%
"Oct 24, 2012",0.25%,0.25%
"Sep 13, 2012",0.25%,0.25%
"Aug 01, 2012",0.25%,0.25%
"Jun 20, 2012",0.25%,0.25%
"Apr 25, 2012",0.25%,0.25%
"Mar 13, 2012",0.25%,0.25%
"Jan 25, 2012",0.25%,0.25%
"Dec 13, 2011",0.25%,0.25%
"Nov 02, 2011",0.25%,0.25%
"Sep 21, 2011",0.25%,0.25%
"Aug 09, 2011",0.25%,0.25%
"Jun 22, 2011",0.25%,0.25%
"Apr 27, 2011",0.25%,0.25%
"Mar 15, 2011",0.25%,0.25%
"Jan 26, 2011",0.25%,0.25%
"Dec 14, 2010",0.25%,0.25%
"Nov 03, 2010",0.25%,0.25%
"Sep 21, 2010",0.25%,0.25%
"Aug 10, 2010",0.25%,0.25%
"Jun 23, 2010",0.25%,0.25%
"Apr 28, 2010",0.25%,0.25%
"Mar 16, 2010",0.25%,0.25%
"Jan 27, 2010",0.25%,0.25%
"Dec 16, 2009",0.25%,0.25%
"Nov 04, 2009",0.25%,0.25%
"Sep 23, 2009",0.25%,0.25%
"Aug 12, 2009",0.25%,0.25%
"Jun 24, 2009",0.25%,0.25%
"Apr 29, 2009",0.25%,0.25%
"Mar 18, 2009",0.25%,0.25%
"Jan 28, 2009",0.25%,0.25%
"Dec 16, 2008",0.25%,1.00%
"Oct 29, 2008",1.00%,1.50%
"Oct 08, 2008",1.50%,2.00%
"Sep 16, 2008",2.00%,2.00%
"Aug 05, 2008",2.00%,2.00%
"Jun 25, 2008",2.00%,2.00%
"Apr 30, 2008",2.00%,2.25%
"Mar 18, 2008",2.25%,3.00%
"Jan 30, 2008",3.00%,3.50%
"Jan 22, 2008",3.50%,4.25%
"Dec 11, 2007",4.25%,4.50%
"Oct 31, 2007",4.50%,4.75%
"Sep 18, 2007",4.75%,5.25%
"Jun 29, 2006",5.25%,5.00%
"May 10, 2006",5.00%,4.75%
"Mar 28, 2006",4.75%,4.50%
"Jan 31, 2006",4.50%,4.25%
"Dec 13, 2005",4.25%,4.00%
"Nov 01, 2005",4.00%,3.75%
"Sep 20, 2005",3.75%,3.50%
"Aug 09, 2005",3.50%,3.25%
"Jun 30, 2005",3.25%,3.00%
"May 03, 2005",3.00%,2.75%
"Mar 22, 2005",2.75%,2.50%
"Feb 02, 2005",2.50%,2.25%
"Dec 14, 2004",2.25%,2.00%
"Nov 10, 2004",2.00%,1.75%
"Sep 21, 2004",1.75%,1.50%
"Aug 10, 2004",1.50%,1.25%
"Jun 30, 2004",1.25%,1.00%
"Jun 25, 2003",1.00%,1.25%
"Nov 06, 2002",1.25%,1.75%
"Dec 11, 2001",1.75%,2.00%
"Nov 06, 2001",2.00%,2.50%
"Oct 02, 2001",2.50%,3.00%
"Sep 17, 2001",3.00%,3.50%
"Aug 21, 2001",3.50%,3.75%
"Jun 27, 2001",3.75%,4.00%
"May 15, 2001",4.00%,4.50%
"Apr 18, 2001",4.50%,5.00%
"Mar 20, 2001",5.00%,5.50%
"Jan 31, 2001",5.50%,6.00%
"Jan 03, 2001",6.00%,6.50%
"May 16, 2000",6.50%,6.00%
"Mar 21, 2000",6.00%,5.75%
"Feb 02, 2000",5.75%,5.50%
"Nov 16, 1999",5.50%,5.25%
"Aug 24, 1999",5.25%,5.00%
"Jun 30, 1999",5.00%,4.75%
"Nov 17, 1998",4.75%,5.00%
"Oct 15, 1998",5.00%,5.25%
"Sep 29, 1998",5.25%,5.50%
"Mar 25, 1997",5.50%,5.25%
"Jan 31, 1996",5.25%,5.50%
"Dec 19, 1995",5.50%,5.75%
"Jul 06, 1995",5.75%,6.00%
"Feb 01, 1995",6.00%,5.50%
"Nov 15, 1994",5.50%,4.75%
"Aug 16, 1994",4.75%,4.25%
